Position,Location,Description,Organization,Deadline,Websites
Lawyer," 265 Montreal Road, Vanier","Looking for a part time candidate who is well versed in criminal law, civil law, mediation, children aid society. 


Must have some relative experience and education related to the position. Bilingualism is an asset.


 During this outbreak period interviews and work may be done from home,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important especially during this time", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41568
Legal Researcher," 265 Montreal Road, Vanier","We are looking for a Legal Researcher who is well versed in criminal law, civil law, mediation and children aid society. Candidate must have some relative experience and education related to the position. Bilingualism is an asset


During this outbreak period interviews and work may be done from home,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important especially during this time
", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41567
Law Clerk," 265 Montreal Road, Ottawa Ontario K1L 6C4","Job purpose


Typically, the broad range of duties assigned to a law clerk includes conducting legal research, preparing bench memos, drafting orders and opinions, proofreading the judge's orders and opinions, verifying citations, communicating with counsel regarding case management and procedural requirements, and assisting  during courtroom proceedings. 


Candidate should be well versed in criminal law, civil law, mediation, children aid society. The candidate must have some relative experience and education related to the position. Bilingualism is an asset


Candidates may work part time. During this outbreak period interviews and work may be done from home,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important.", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41566
Registered Social Worker for Counselling (MSW or BSW) ," 265 Montreal road Ottawa, ON","We are looking for a Life Coach and or MSW, B.Sw, or a RSW, for one on one counselling and social work., flexible hours. Areas include, addictions, Stress Management, Anger Management, general counselling, life skills.  Must have some relative experience and education related to the position. Bilingualism is an asset.


During this outbreak period interviews and work may be done from home,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important.", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41565
Paralegal/ Legal assistant," 265 Montreal Road, Ottawa Ontario K1L 6C4","Job role 

Assist in preparing for trials, hearings, and closings. 

Must be licensed paralegal


During this outbreak period interviews and work may be done from home ,however, as an essential service provider, the organization has taken steps to ensure that safety precautions are taken within the office should one need to come in. Dedication to this position is important.Experience is an asset. Experience with volunteering is also an asset.", Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41562
Licensed Security Guard ," 265 Montreal Road, Ottawa Ontario K1L 6C4",Security guard needed to monitor the building. , Onyx Community Services," Jul 27, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41556
School Tutors Needed - K-12, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Ottawa Volunteers in Education (OVIE) arranges tutoring placements in both elementary and secondary schools to enrich and improve student learning. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


The volunteers will be asked to perform different tasks depending on their interest and skills and according to the needs of the schools. A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41546
School Tutors Needed - K-12, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Ottawa Volunteers in Education (OVIE) arranges tutoring placements in both elementary and secondary schools to enrich and improve student learning. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


The volunteers will be asked to perform different tasks depending on their interest and skills and according to the needs of the schools. A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41545
Special Education - Autism Unit, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


The Ottawa Carleton District School Board has a few elementary schools looking for volunteers to assist in their Autism Unit.


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


 A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS.(Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you are interested, please register on-line at www.onfe-rope.ca/ovie/application and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/scheduling. Thank you for your consideration.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41544
English as a Second Language (ESL) K-12 tutors needed, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


English As a Second Language (ESL) volunteers are needed to help Pre-K to Grade 12 students to assist in acquiring English proficiency. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


The volunteer will collaborate with the educator to enhance the daily ESL opportunities for students. The students are mainly new Canadians. You will provide assistance to students who need assistance understanding English in general. Requires a current vulnerable sector police clearance (PVSC). (Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you are interested, please register on-line at www.onfe-rope.ca/ovie/application  and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/scheduling. Thank you for your consideration.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41543
Bell High School - Community Living Class, Bell High School Nepean,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 

The Community Living Class at Bell High School serves students with special needs. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


Opportunities for reading buddies, games, art and crafts, caller for time bingo, cooking, field trips computer skills. There are a maximum of 10 students per classroom. Bell would like to have volunteers join the program and share their interests and talents. They are always open to new ideas and they would be delighted to welcome you! A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. (Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/ scheduling. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41542
Adult High or Central Orientation Classroom, Adult High School Rochester Street,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Adult High School - Central Orientation Class is designed for newly-arrived students between 18 and 20 years of age who require ELD support. They receive English Language and Math support. Students leave the Centre to take other courses at the Adult HS or to enter the workforce. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


A RECENT POLICE BACKGROUND CLEARANCE TO SERVICE THE VULNERABLE SECTOR IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41541
Assist Syrian students (Kindergarten to grade 12), various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


English Language Development (ELD/ESL) - (English Language Development (ELD), English as a Second Language (ESL)) tutors/volunteers needed to support 500 Syrian refugee students who are coming to our OCDSB schools and require extra support. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


You would be working with students primarily on their English (reading & writing) along with assisting them to adapt to their new environment. Self-paced training is required (approx. 3 hours), details will follow upon your registration. A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41540
Math Tutors, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***

Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Help a child understand math concepts by becoming a math tutor. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.

Professional development training, facilitated by OCDSB Math coaches, will be offered periodically during the school year. Attendance to at least one session is recommended. Invitations to attend training sessions with more details will be sent periodically to all interested Math volunteers. If you are interested in helping students in Grades 3 to 8 become enthusiastic and successful in Math we would really appreciate hearing from you! A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. (Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/ scheduling. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41539
General Classroom Assistance, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


General Classroom Assistance - Volunteers are assigned to a specific teacher and carry out various tasks depending on the teacher's needs.


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


 The following are some typical examples of areas where volunteers are needed: General Classroom Assistance Remedial/Special Education MentoringTutoringCoaching LanguagesLibraryEarly LiteracyComputers/TechnologyMath/Science A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. (Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview 


to discuss the details/ scheduling. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41538
High School Tutors and Mentors Needed, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


In 2005-06 the Ontario government initiated the Student Success Program within secondary schools as one response to the severe drop-out rate of high school students. 


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


Ottawa Volunteers in Education (OVIE) has received requests from Ottawa high schools to recruit community volunteers interested in providing tutoring support (under the direction of teachers) to individual students in their Math, English, Science or History Credit Recovery Program. Most of these students, many of whom are new Canadians, respond very well to working with a tutor on a weekly basis. We are looking for volunteers who can help them focus, explain concepts as they work, assist them in organizing materials, and provide encouragement as they progress in all subjects. A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41537
French Immersion volunteers (K-6), Ottawa Carleton District School Board (OCDSB) Elementary Schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


The Ottawa Carleton District School Board (OCDSB) is welcoming volunteers who can read to students and/or work with students in some of their French Immersion classrooms (K-6).  Your role as a volunteer and the schedule is determined at your school interview prior to beginning your placement.  A police vulnerable sectors check is required.  ", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41536
French Immersion volunteers (K-6), Ottawa Carleton District School Board (OCDSB) Elementary Schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


The Ottawa Carleton District School Board (OCDSB) is welcoming volunteers who can read to students and/or work with students in some of their French Immersion classrooms (K-6).  Your role as a volunteer and the schedule is determined at your school interview prior to beginning your placement.  A police vulnerable sectors check is required.  ", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41535
Tutors needed to support English Language Learners (Kindergarten to adult), various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Volunteers needed to support children and adult English language learners. Volunteers will receive training before being matched to support students in Pre-K to Grade 12 or in the Adult LINC programs.   


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


The volunteer will collaborate with the educator to enhance the daily English language learning opportunities for students. The students are mainly new Canadians. 


Requires a current vulnerable sector police clearance (PVSC). (Instructions on how to get a PVSC will be emailed to you after you apply on-line through ONFE). All volunteers assist under the supervision of a teacher. If you are interested, please register on-line at www.onfe-rope.ca/ovie/application  and quote this volunteer opportunity. Once the screening process is completed and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/scheduling. Thank you for your consideration.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41534
Full Day Kindergarten - classroom helpers, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


Many elementary schools within the Ottawa Carleton District School Board (OCDSB)are now offering full-day classes and care for Kindergarten students.


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


 The Ottawa Volunteers in Education (OVIE)program are looking for volunteers who can help in a Kindergarten classroom setting to assist the teacher with the daily routines. A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS. All volunteers assist under the supervision of a teacher. If you can help, please register online on our website and quote this volunteer opportunity. Thank you for your gift of time.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41533
Special Education - Autism Unit, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


The Ottawa Carleton District School Board has a few elementary schools looking for volunteers to assist in their Autism Unit.


ALL VOLUNTEERS MUST BE 18 YEARS OF AGE AND OLDER.


 A RECENT POLICE VULNERABLE SECTOR CHECK (PVSC) IS REQUIRED FOR ALL VOLUNTEER POSITIONS.(Instructions on how to get a PVSC will be emailed to you after you apply on-line). All volunteers assist under the supervision of a teacher. If you are interested, please register on-line at www.onfe-rope.ca/ovie/application and quote this volunteer opportunity. Once the screening process is complete and approved, you will be contacted by the school volunteer coordinator to set-up a time for an interview to discuss the details/scheduling. Thank you for your consideration.", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41532
OttawaReads Employer Supported Early Literacy Program, various schools,"***Please note that until schools are back in session, you will not be placed to volunteer in a classroom setting. Orientation training will be done on-line until further notice.  You can contact Heather Kotelniski for the information required to proceed (hkotelniski@onfe-rope.ca). We continue to follow the guidelines of the OCDSB, Ottawa Public Health, and Canada Public Health and we thank you for your patience.***


Please note that all volunteer positions are September to June each year. We do not have summer volunteer positions available. 


What is your company doing to promote literacy? NOTE: This is a group volunteer opportunity--you need to lead a team of volunteer readers from your organization.


If you want to volunteer as an individual please register as OVIE volunteer www.onfe-rope.ca/ovie/application. If you have a team of readers for OttawaReads please proceed to register for this position. The Ottawa Network for Education s OttawaReads program is a unique school/business partnership that draws volunteers from the corporate and public sectors to read one-on-one with children in Kindergarten to Grade 3 classes in Ottawa schools. After attending an orientation/training session in their place of work, volunteers fulfill a weekly or bi-weekly one-hour commitment to read to students in local schools. Each participating organization is partnered with a school in their own geographic location. The number of volunteers requested from each organization is based upon the size of the company and the requirements of the partnering school. We currently have several schools on the waitlist for new OttawaReads partners. Can you help? Be a team leader in your place of work!", Ottawa Network for Education - Ottawa Volunteers in Education," Jul 24, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41531
Live Music and Pub Night!, Ottawa,"Are you a live music fan? Like getting out and watching music in a local pub?  We are looking for someone who is willing to commit one or two evenings a month to check out some live music and pubs with one of our members, someone with an intellectual disability. This person lives in the west end and would prefer a match who drives! If this sounds fun to you, get in touch with Alex to learn more.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41159
Concert Companion, Ottawa,"Do you love concerts? A person with an intellectual disability is looking for someone to get together with to see a variety of different concerts or theatre. If this sounds interesting to you, please contact Alex for more information or to set up an interview.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41158
Time for Trampoline!, 2197 Riverside Drive,"Do you like trampolining or are you interested in learning more? If so, a person with an intellectual disability and a PASSION for trampoline would love to meet you! If you're interested in setting up an interview or just want more information, contact Alex. This would be a once a month type of commitment.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41157
Volunteer X2, 300- 2197 Riverside Drive,"Currently seeking a female volunteer who is available the last Monday afternoon of every month to join one of our members, someone with an intellectual disability, during her volunteer work at Dress for Success (https://ottawa.dressforsuccess.org/) !


This member is an avid volunteer at Dress for Success at their Donation Days once a month (organizing incoming clothing and accessory donations) and is looking for someone to join her! 


You'd be volunteering for LiveWorkPlay AND Dress for Success - Volunteering X2 !


Let Alex know if you are interested!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41156
Gym Enthusiast!? , 2197 Riverside Drive," Interested in getting to know someone else while working out? If so, a person with an intellectual disability would like to meet you! We have members that go to Movati and the YMCA! Contact Alex for more information and to begin the interview process.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41155
Workout Partner, Ottawa,"Do you love working out? A person with an intellectual disability is looking for company to work out with. We're looking for someone who already has a gym membership or is willing to get one or is willing to pay an affordable drop-in fee. We are looking for others who like to do at home fitness. We are also looking for people who go to Goodlife, the YMCA or Movati. If this sounds like an interesting way to get involved, please get in touch with Alex!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41154
Movie Companion (East/west/central), 2197 Riverside Drive,"Do you like going to the movies? A person with an intellectual disability is looking for someone to go to movies with, in the East end or downtown a few times per month. If this sounds interesting to you, please contact Alex to get more info or to schedule an interview!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41153
Cycling Companion Or E-Bikes! (East or West), 2197 Riverside Drive,"Are you a cycling enthusiast? A person with an intellectual disability is looking for company to go on long rides or short rides with. Another person is looking to ride E-Bikes with someone as well! If this sounds interesting to you, please contact Alex to set up an interview or to get more information! This is a once a week or once every other week type of commitment. 


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41152
"Shopping, Errands, Whatever!", 2197 Riverside Drive,"Do you love window shopping or spending time at the mall or running errands perhaps? If so, we know someone who would like to meet you! The volunteer position is a one on one match with a person who has an intellectual disability. Contact Alex for more information.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41151
Live Music and Pub Night!, Ottawa,"Are you a live music fan? Like getting out and watching music in a local pub?  We are looking for someone who is willing to commit one or two evenings a month to check out some live music and pubs with one of our members, someone with an intellectual disability. This person lives in the west end and would prefer a match who drives! If this sounds fun to you, get in touch with Alex to learn more.


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41150
Do you have a hobby or interest you'd like to share?, 2197 Riverside Drive,"As a natural supports provider, your role will be to develop a supportive relationship with a person who has an intellectual disability while doing an activity you both enjoy. We are looking for someone who: is friendly and personable; is mature and responsible; respects commitments; is open and willing to learn about intellectual disabilities. Contact Alex to set up an interview today!


**Please note that because of Covid-19 we aren't actively setting these opportunities up BUT you can reach out to Alex to virtually talk more, discuss LiveWorkPlay's screening process and learn more about steps to be taken at a later date.", LiveWorkPlay," Jul 6, 2020",https://www.volunteerottawa.ca/cgi/page.cgi/_memberlog.html?log=view&log_id=41148
