Position,Location,Category,Organization,Date Posted,Websites,Description
Church Service Assistant (On-going recruitment),"Toronto, Ontario",Accessibility and Disabilities,Shepherd Village Inc.,2020-05-25,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=221894,"

 
Enjoy working with people?
Passionate about caregiving?
Come to Shepherd Village and make an impact on the lives of seniors today!


Volunteers will meet residents on their designated floor in the Lodge and bring them to the community hall to attend church service.
Benefits of Volunteering:

Enjoy attending our church service
Gain experience working within a long-term care facility
Gain experience interacting with seniors and increase your interpersonal skills
Give back to the community and feel good about the engagement and impact you have with the residents 
Increase your knowledge of long term care issues that come with aging
Develop new friendships and networking opportunities
Gain new skills to add to your resume 
Be recognized by your peers and senior management at recognition events 

Requirements:  Volunteers will help residents by pushing a wheelchair or lending a hand to walk with them.  You are physically able to porter residents and are friendly and patient. 
Time:  Sunday Service - Volunteers are needed from 9:00 am to 11:30 am.
Training and Orientation:  Training will be provided by Volunteer Services.  You will enjoy a 30 minute tour of our facility followed by a 1.5 hour interactive orientation.  Additional on-line training required. Orientations are held twice a month from 5:30 pm to 7:30 pm.
Required:  A mandatory Tuberculosis (TB) with a 2-step Mantoux skin test is required.  A vulnerable sector police check is required. 
Required language: English.  We are also in high demand of Mandarin and Cantonese speaking volunteers.
Transportation/Intersection:  We are accessible by bus and a 5 minute walk (west) from the corner of Kennedy and Sheppard Avenue East. 
Minimum hours per week:  2.5 hours a week / must make commitment of 6 months.  You will be asked to arrive 5 minutes before the shift begins.
Accessibility:  Building is accessible.

"
"Volunteer Packers, Loaders, and Drivers","Toronto, Ontario",COVID-19 Response,Hand Up Toronto,2020-05-24,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=606277,"

Hand Up for Kids is a program created in response to COVID – 19 to alleviate food insecurity for families who have been impacted by this pandemic. Our goal is to provide groceries to low income households with children that are in need, especially at this time.

As of today we have over 10,000 families signed up. This kind of scale requires all hands on deck and we need all the support we can get to scale our operations to feed 10,000 families. We are looking for +100 volunteers to help!
 
We have a range of different volunteer opportunities, each one about 3-4 hours. 

Weekend Packers (Friday-Sunday Availability)
We have set up packing centers to package our grocery care kits in warehouse locations in Toronto. Role involves assembling boxes, portioning, packaging, taping and labeling boxes for families. I.e each box contains 10 bags of grains, 1-2 boxes of KD, chocolates etc. 
Contactless Delivery Driver (Friday-Sunday Availability)
These people will be ideally dispersed in the GTA that owns a car to make deliveries to the families that cannot leave their homes while exercising safety protocols. They would pick up from the packing center, or potentially have to pick up from the grocery shop. Note there is no Sunday driving shifts.
Drive-Thru Pickup Center Staff (Friday-Sunday Availability)
We are setting up key pick-up centers in Toronto with our first site in Vaughan Mills where families can pick up their grocery kit in a contactless drive-thru process. We aim to serve 500 families on a weekend and currently plan on Sundays only. 
Weekday Packers (Monday – Thursday Availability)
We have set up packing centers to package our grocery care kits in warehouse locations in Toronto. Role involves assembling boxes, portioning, packaging, taping and labeling boxes for families. I.e each box contains 10 bags of grains, 1-2 boxes of KD, chocolates etc. 
Weekday Contactless Delivery Driver (Monday to Friday Availability)
These people will be ideally dispersed in the GTA that owns a car to make deliveries to the families that cannot leave their homes while exercising safety protocols. They would pick up from the packing center, or potentially have to pick up from the grocery shop. 
 
Details sometimes change each week, so register with us and receive a weekly email outlining all the volunteer events for the week! Or just get in touch volunteer@handuptoronto.org


"
THE EMPOWERMENT PROJECT MENTORS,"Toronto, Ontario",Education and Literacy,The Peer Project- Youth Assisting Youth,2020-05-22,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=221914,"

 


Youth Assisting Youth
 Empowering Children & Youth To Make Good Decisions
 
 
ABOUT OUR PROGRAM:
Youth Assisting Youth is a non-for-profit organization that gives youth an opportunity to volunteer in their community.
 








-Peer mentors are young adults aged 16-29 that act as positive role models to help at-risk and newcomer kids aged 6-15 to reach their full potential.


Be a Role Model & have fun bonding with the youth while engaging in social and/or academic activities



-All we ask from you is: To spend (3 hours per week) with the youth. 


-The youth you will be paired up with will have similar hobbies and interests to you. They will also live nearby to your location. We make it very easy for you to have an enjoyable time by providing chances of many trips and event.


 



The Areas the youth are located are as follows: YORK REGION, NORTH YORK, SCARBOROUGH, and DOWNTOWN TORONTO.


 
 
 BENEFITS:


 -Gain Valuable experience , build a better Resume and have more references



-Get trained, Get a certificate, Get Scholarship Opportunities
-Make a concrete difference, Figure out what you want to do in the future
-Attend free events and get tickets to: Raptors , Blue Jays, Argos and Maple Leaf games, Wonderland, Bowling and much more.




 











To apply contact romey Email: romey@yay.org 
  
 HOPE TO HEAR FROM YOU!

 

 

The Peer Project - Youth Assisting Youth (YAY) operates a Girls Only Program in Toronto for girls ages 12-15 that is specifically designed to contribute to the overall health and wellness of each participant and build relevant knowledge and communication skills, while increasing confidence and self-esteem.   Designed to provide activities and workshops that inform, engage, educate and empower girls, the program will also encourage participants to take risks and master physical, intellectual and emotional challenges.  Workshops address issues such as Bullying, Health & Fitness; Sexual Behaviour & Teen Pregnancy; Substance Abuse; Self-Image & Media Literacy and Violence & Abuse.
 
The agency is looking for mature, reliable, and responsible volunteers to assist the Girls Only Program Coordinator with facilitating the program.  
 
 Responsibilities include:
 

Provide positive role modeling and mentorship to the children and volunteers in the program
Assist the program coordinator in various tasks including, preparing healthy snacks, leading group activities, co-facilitating group discussions, clean up, supervising participants, and other tasks as assigned by the program coordinator.
Maintain a log of volunteer hours.

 
Required attributes:
 

Have demonstrated experience and expertise in a variety of sport and recreational activities
Have a background/proven experience and awareness of the challenges young girls and women face today
Demonstrate good organizational and facilitation skills
Be able to take initiative, be energetic and have a positive and enthusiastic attitude
Display strong leadership and inter-personal skills in a group setting
The ability to speak a second language will be considered as a strong asset
Be able to complete tasks as assigned
Clearance of a Police Criminal Reference Check

 
CONTACT INFORMATION:
If you are interested in this exciting opportunity with Youth Assisting Youth, please forward your resume to Emma DeBono edebono@yay.org.
 
Please note that only those applicants who are selected for an interview will be contacted. We thank you for your interest in The Peer Project.
 
The Peer Project - Youth Assisting Youth (YAY) is a non-profit, charitable organization servicing the GTA and York Region.  The agency matches Youth volunteers aged 16 – 29, to a one-on-one relationship with at-risk children aged 6 to 15, who are experiencing social, emotional, behavioural or cultural adjustment difficulties. The goal of the program is to provide a child with a positive role model through a mentoring relationship (Match) with a Youth volunteer.  The agency provides recreational events, programs and activities to support the matched and pre-matched children and volunteers
 


The Peer Project - Youth Assisting Youth (YAY) operates a Girls Only Program in Toronto for girls ages 12-15 that is specifically designed to contribute to the overall health and wellness of each participant and build relevant knowledge and communication skills, while increasing confidence and self-esteem.   Designed to provide activities and workshops that inform, engage, educate and empower girls, the program will also encourage participants to take risks and master physical, intellectual and emotional challenges.  Workshops address issues such as Bullying, Health & Fitness; Sexual Behaviour & Teen Pregnancy; Substance Abuse; Self-Image & Media Literacy and Violence & Abuse.
 
The agency is looking for mature, reliable, and responsible volunteers to assist the Girls Only Program Coordinator with facilitating the program.  
 
 Responsibilities include:
 

Provide positive role modeling and mentorship to the children and volunteers in the program
Assist the program coordinator in various tasks including, preparing healthy snacks, leading group activities, co-facilitating group discussions, clean up, supervising participants, and other tasks as assigned by the program coordinator.
Maintain a log of volunteer hours.

 
Required attributes:
 

Have demonstrated experience and expertise in a variety of sport and recreational activities
Have a background/proven experience and awareness of the challenges young girls and women face today
Demonstrate good organizational and facilitation skills
Be able to take initiative, be energetic and have a positive and enthusiastic attitude
Display strong leadership and inter-personal skills in a group setting
The ability to speak a second language will be considered as a strong asset
Be able to complete tasks as assigned
Clearance of a Police Criminal Reference Check

 
CONTACT INFORMATION:
If you are interested in this exciting opportunity with Youth Assisting Youth, please forward your resume to Emma DeBono edebono@yay.org.
 
Please note that only those applicants who are selected for an interview will be contacted. We thank you for your interest in The Peer Project.
 
The Peer Project - Youth Assisting Youth (YAY) is a non-profit, charitable organization servicing the GTA and York Region.  The agency matches Youth volunteers aged 16 – 29, to a one-on-one relationship with at-risk children aged 6 to 15, who are experiencing social, emotional, behavioural or cultural adjustment difficulties. The goal of the program is to provide a child with a positive role model through a mentoring relationship (Match) with a Youth volunteer.  The agency provides recreational events, programs and activities to support the matched and pre-matched children and volunteers
 


"
Preschool Classroom Volunteer | 1:1 support for children with special needs,"Toronto, Ontario",Children and Youth,Centennial Infant and Child Centre,2020-05-22,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=327040,"

*Please note, Centennial Infant and Child Centre is currently closed in accordance with the Ministries of Health and Education in response to the COVID-19 pandemic. We will continue to review volunteer applications at this time and reach out to prospective volunteers to discuss next steps and future opportunities for September, 2020.  Thank you for your interest and application!   
We are looking for passionate volunteers who are looking to make a difference in the lives of children with special needs ages 18 months-4 years old. Under the direction and guidance from our Early Childhood Educators and support staff, Volunteer mentors work 1:1 with their assigned student to ensure successful implementation of individualized program needs. 1:1 support can take on many different forms, from physical support, to assisting with transitions and working 1:1 on promoting communication, socialization as well as fine and gross motor development. The number one role of our Volunteers is to ensure a safe and FUN day for the children in our program. Essential to our program, is a whole-person approach, which sees each of our students beyond their diagnoses for the unique, creative, amazing individuals that they are. Our highly qualified staff rely on the contribution of the CICC volunteers as they are a vital part of our organization and make the work that we do possible!
Training
Each Volunteer takes part in mandatory orientation and training.  Once on board, Volunteers gain access to each student's individualized program plan to gain clarity and understanding of each child's individual goals. Ongoing supervision and support is provided.  
Volunteer Requirements:  

Must be able to commit to one morning (9:00-11:45 am) or one afternoon (1:00-3:45 pm) per week. 

Volunteers will be accepted throughout the course of the school year based on program needs. 
A long term commitment is preferred. Shorter term commitments will be considered.
Previous experience working with children is an asset, but not required.  Volunteers must be open to receiving ongoing feedback and coaching.
Volunteers must have the ability to lift and carry children (up to 50 lbs) with ease, and have the ability to get up and down at the child’s level for interactive play.
Must have the ability to communicate clearly and effectively with staff, fellow volunteers and the children.
Applicants 18 years of age and older are required to provide a Vulnerable Sector Police Check (forms provided by CICC)
Provide 2 references
Up to date immunization record. Please contact the Volunteer Coordinator if you have any concerns regarding immunizations.
Centennial Infant and Child Centre values diversity and inclusion and commits itself to an accommodation process that respects the Human Rights Code principle of dignity, privacy, inclusion and individualization.  

Benefits to Volunteers:

Develop early childhood development skills working with children with a wide range of special needs.

An opportunity to make a difference in the lives of children in our program.

Volunteers receive ongoing training and supervision from highly qualified ECE staff and therapy team.
Reference Letter provided by CICC after 70+ hours of Volunteering.

Additional Information:
We encourage applicants from the GTA and surrounding area. Centennial Infant and Child Centre is conveniently located at 1580 Yonge Street, a 5 minute walk North from St. Clair Station.
Parking is unfortunately, not provided at this time, but paid city parking and street parking is available nearby.  
 
Thank you for your interest in joining the CICC Volunteer team. We look forward to receiving your application! 
 
 


"
Computer support / Web development,"Toronto, Ontario",IT Support,Connexions Archive & Library,2020-05-22,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=219611,"

We are a small but multi-faceted organization which maintains both a physical archive and an online archive. We run a couple of web servers, a MySQL database, as well as some older Windows-based database applications. We are gradually updating our website and databases, requiring us to modify, update and sometimes replace existing features and apps.
Our approach, wherever possible, is to use open-source software and to make our website accessible to users using different browsers and operating systems, as well as to users in rural and other areas whose Internet access may be slower.

We are looking for volunteers who have some or all of the following skills:

1) Maintaining and when needed troubleshooting applications running on a web server running Linux and Apache, and some PHP and java applications;

2) Maintaining and improving databases (MySQL and Borland), and possibly creating some new apps to manage and disseminate specialized types of information;
3) Updating and improving appearance and functionality of particular website pages or sections.

We have a small office in downtown Toronto. The office has been closed for the COVID-19 pandemic, so at this point all work would be done remotely, using a virtual environment to develop and test databases and applications.



Required language
English 



Transportation
Close to subway and streetcar.

 
Minimum hours per week
4 hours (flexible) 



Task requirements
Solid knowledge of computer hardware and software, including  Linux, MySQL, and Apache.



Accessibility
Building has elevator. 

Intersection: Spadina and Richmond


"
Meals on Wheels Runners - Bloor Site,"Toronto, Ontario",Driving and Transportation,West Toronto Support Services,2020-05-21,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=320128,"

 

Meals on Wheels Runners:
Meals-on-Wheels provides hot, nutritious meals to seniors and adults with disabilities who are unable to prepare meals for themselves
You will be assisting with the delivery of hot meals to housebound seniors and adults with disabilities in their homes and provide a daily security check.
 
Training:
An application form and an interview with the Volunteer Supervisor are required to be completed prior to volunteering
An overview of the agency and a description of your role will be provided
Training specific to the position will take place prior and during your volunteering
On-going support from the Coordinators and fellow volunteers
 
 Skills and Experience Required:
Physically able to carry meal bags
Reliable and punctual - Sensitive to the needs of seniors and adults with disabilities
Good interpersonal skills and ability to work with others
Completion of a Police Reference Check
 
Additional Information: 
Interest in the well-being of older adults


Required language:
English

Transportation:
Close to subway station
Close to bus or street car stop
Free parking available

Minimum age:
16

Minimum hours:
2 hours per month
11:00 to 1:00 pm

Task requirements:
carrying and lifting
walking and standing
verbal communication
reading and writing

Accessibility:
Accessible building 

Benefits:
Be the difference that enhances the lives of home-bound seniors. Coffee, cookies and bottled water provided.

Other Requirements:
Police Records Check
How to Apply:
Email:  volunteer@wtss.org
 Attention:  Supervisor, Volunteers
 Phone:  416-653-3535 extension 233



"
Meals-on-Wheels Drivers - Bloor Site ,"Toronto, Ontario",Driving and Transportation,West Toronto Support Services,2020-05-21,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=227467,"

 
Meals-on-Wheels Drivers:
Our Meals-on-Wheels Drivers program Urgently requires drivers to help deliver hot meals to seniors and adults with disabilities in the community.
 
Drivers will deliver the meals to designated routes between 10:30 am and 12:30 pm - Monday to Friday.  
Drivers will do the routes with another volunteer who will be their ""runner"".  Runners deliver the meal from the car to the client's front door while the driver waits.
 
Additional Information:

An application form and interview with the Volunteer Coordinator are required to be completed prior to volunteering
Training specific to the position will take place prior and during your volunteering
On-going support from Coordinators and fellow volunteers

 
 

Qualifications:

Volunteer Driver
􀂃 Reliability and Punctuality 
􀂃 Valid Driving License and good driving record
􀂃 Proof of valid driving insurance

 
Time Commitment:
􀂃 10:30am to 12:00pm any day of the week (Mon-Fri)
􀂃 Volunteers may take as many shifts a week as they like

 
Benefits
􀂃 DRIVERS: receive a gas reimbursement per route
􀂃 Personal satisfaction from providing a vital service to the community!
 

Contact
Tim Anderson
Supervisor, Volunteers
416-653-3535
volunteer@wtss.org
 
 
 
 

 

 

"
Meals on Wheels Drivers - Weston Site,"Toronto, Ontario",Driving and Transportation,West Toronto Support Services - Weston Site,2020-05-21,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=521642,"

 
Meals-on-Wheels Drivers:
Our Meals-on-Wheels Drivers program Urgently requires drivers to help deliver hot meals to seniors and adults with disabilities in the community.
 
Drivers will deliver the meals to designated routes between 10:30 am and 12:30 pm - Monday to Friday.  All the routes are in the former City of York.
Drivers will do the routes with another volunteer who will be their ""runner"".  Runners deliver the meal from the car to the client's front door while the driver waits.
 
Additional Information:

An application form and interview with the Volunteer Manager are required to be completed prior to volunteering
Training specific to the position will take place prior and during your volunteering
On-going support from Coordinators and fellow volunteers



"
Youth Volunteer : YIELD Program Participant ,"North York, Ontario","Advocacy, Policy, and Research",Learning Disabilities Association,2020-05-21,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=554370,"

 
DO YOU WANT TO CREATE COMMUNITY CHANGE WHILE GAINING PROFESSIONAL EXPERIENCE?

Find out how with The Y.I.E.L.D program!
The Y.I.E.L.D (Youths' Initiative and Excellence with LD'S) is a unique program designed to support LD youth to gain valuable skills and increase civic engagement opportunities that will benefit them in life and work while making a difference in their community. 

Three Pillars of Program:
·        Co-creation of Youth Service Projects: With the support of program facilitators participants will create community service projects that will make a positive impact in their community 
·        Professional Leadership Training: Participants will be offered a series of certified workshops that will give them actionable leadership skills for future endeavors 
·        Direct Civic Engagement: With the engagement of community organizations and collaborators, participants will develop community service projects within their community 
Eligibility 
·        Youth who are 15-30 years of age 
·        Youth who struggle with the impacts of LD and/or ADHD, Newcomer Youth
·        Youth who are eager to learn about the social service sector, gain industry certifications and connect directly with service providers 
·        Youth who are responsible, reliable and can commit 120 hours over a period of 4 months 
 
 Benefits 
·        Earn valuable industry certifications including the Yield program certification, Project Management Training, CPR/First Aid, High 5 training 
·        Free TTC fares, snacks & course materials 
·        Attend Professional Development Conferences at NO cost
·        Develop professional references for your future career while gaining field experience
·        EMPOWER yourself and the community through volunteerism 

"
Marketing Specialist ,"Toronto, Ontario","Boards, Committees, and Leadership",Collaboration Partners,2020-05-20,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=384234,"








 


 











 


 




"
Secretary,"Multiple Locations, Ontario",Children and Youth,Spelling Bee of Canada,2020-05-19,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=605978,"

Spelling Bee of Canada is an educational organization that encourages youth, parents, teachers and the community at large to participate in the education process.  The Board of Directors of the Spelling Bee of Canada is looking for an enthusiastic Executive Secretary to join the team. The Secretary would be required to:
1. Take minutes of meetings (eg. Board of Directors meetings, committee meetings, third party meetings, interviews, and consultations)
2. Draft communications (eg. emails and letters)
3. Set up virtual (Zoom or other video conferencing platforms) and in-person meetings
4. Attend all Board meetings where possible
5. Other work as necessary to support events and initiatives
 
Training
The volunteers accepted for the position will be given a clear understanding of the operation of the Spelling Bee of Canada, as well as training in the use of the web content management application.
 
Skills And Experience Required
* Access an internet connected device to perform the duties of the position 
* Work independently after a period of training and becoming familiar with the various applications and sites in use 
* Comfortably navigate/operate the features and functions of word processing programs and video conferencing programs 
* Suggest ways the organization can enhance its global profile through these channels
 
Required language:
English
 
Transportation:
Free parking available
 
Minimum age:
18
 
Minimum hours:
6 hours per week
 
Task requirements:
verbal communication
reading and writing
 
Accessibility:
Not accessible
 
Benefits:
* A great opportunity to meet and connect with volunteers. 
* Exposure to opportunities within the organization and broader community 
 * Reference letter will be provided

"
Web and Social Media Content Editors,"Multiple Locations, Ontario",Children and Youth,Spelling Bee of Canada,2020-05-19,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=225059,"

Spelling Bee of Canada is an educational organization that encourages youth, parents, teachers and the community at large to participate in the education process. Web and Social Media Content Editors assist with curation and posting of content for both the primary website and social media properties. 
1. Post content to the website and social media pages (Facebook, YouTube, blogging and Twitter)
2. Manage revisions and ensure content is accurate, current and relevant 
3. Monitor response to posts via comments or email 
4. Suggest new content for the site 
5. Ensure event announcements are posted in a timely manner
 
Training	
The volunteers accepted for the position will be given a clear understanding of the operation of the Spelling Bee of Canada, as well as training in the use of the web content management application.
 
Skills And Experience Required	
* Access an internet connected device to perform the duties of the position 
* Work independently after a period of training and becoming familiar with the various applications and sites in use 
* Comfortably navigate/operate the features and functions of the popular social media sites/applications 
* Suggest ways the organization can enhance its global profile through these channels 
 
 
Additional Information:
 
Required language:
English
 
Transportation:
Free parking available
 
Minimum age:
18
 
Minimum hours:
6 hours per week
 
Task requirements:
verbal communication
reading and writing
 
Accessibility:
Not accessible
 
Benefits:
* A great opportunity to meet and connect with volunteers. 
* Exposure to opportunities within the organization and broader community 
* Experience with CMS software and performing content marketing for organizations 
* Reference letter will be provided
 

"
Fundraising & Marketing Volunteer,"Toronto, Ontario","Marketing, Communications, and Fundraising",Spelling Bee of Canada,2020-05-19,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=221872,"

 
In the past 30 year, Spelling Bee of Canada (SBOC) is a nationally recognized non-profit charitable organization that encourages the participation of youths, parents and teachers in their community in the improvement of educational growth. SBOC programs have been proven to help develop our young participant's vocabulary, improve their reading comprehension and public speaking skills
 
SBOC is currently seeking a friendly, energetic and detailed oriented Marketing & Fundraising Volunteer. This is a unique opportunity to shape the development and implementation of SBOC fundraising strategy, support SBOC's marketing initiatives, and make a valued contribution to an innovative and rapidly growing network. The selected candidate should be able to demonstrate a proven track record of managing and implementing successful fundraising. 
Knowledge of fundraising policies and legislation relevant to the charities sector
 
Additional Information
 This position will provide valuable experience for fundraising and marketing management, in a fun and relaxed work environment. Opportunity for career progression and mentorship

Required language


English


Transportation
  
Free parking available 



Minimum age


18


Minimum hours per week
  
4 hours 



Task requirements
  
Previous experience soliciting and securing monetary and in-kind donations. Proven ability to meet financial targets and fundraising goals. Extremely comfortable contacting potential donors by phone, email and in person. Previous experience working or volunteering in development or marketing for a nonprofit organization. Extremely organized and detailed oriented, interpersonal skills, communication skills, research and creativity skills. 


This is a unique opportunity to shape the development and implementation of the SBOC fundraising strategy and make a valued contribution to an innovative and rapidly growing network. The selected candidate should be able to demonstrate a proven track record of managing and implementing successful fundraising.


Responsibilities:


To maintain strong working relationships with SBOC portfolio of existing donors and partner organizations;


Ability to research, identify, assess and develop new fundraising opportunities and relationships amongst institutional donors, private foundations, trusts, and individuals to diversify and increase revenue streams;


In consultation with the SBOC Board and Management team, to plan, develop, implement and coordinate an ambitious fundraising strategy;


To develop and submit individual high high-quality funding applications and relevant materials to individual and institutional donors /resource providers at national, regional and global levels;


To follow up approaches and check on progress to ensure funding applications are fully considered by donors, ensuring relevant data is provided as required and deadlines are met;


To attend appropriate fundraising and marketing events;




Requirements:


Work under the direct supervision of SBOC board member or designated responsible official


Demonstrable enthusiasm and capabilities to work with SBOC;


Extensive proven fundraising experience within the charities sector;


 Experience of putting together and packaging persuasive and imaginative fundraising proposals for presentation to targeted institutional donors;


Knowledge of fundraising as well as the major institutional donors would be beneficial for the role;


Experience of putting together and packaging persuasive and imaginative fundraising proposals for presentation to targeted institutional donors;


Experience Knowledge of development, management and implementation of an effective corporate fundraising strategy and associated work plans;


Experience of producing high high-quality donor funding progress report and project budgets;


Track record of building and developing strong working relationships and contacts across the institutional fundraising sector(donors / /trust / /foundations), including knowledge of research sources to identify potential new donors


Knowledge of fundraising policies and legislation relevant to the charities sector;


Available to commit to 4 hours of work 1-2x week;


Attend an occasional meeting at Toronto head office as necessary; and


Vulnerable sector check (further instructions will be given once recruited).


 
 
What We Offer:
 


Fun, relaxed work environment


Flexible ability to volunteer work from home


Easily accessible location by public transit – nearest intersection Islington & Elmhurst


Experience to help build portfolio


Letter of recommendation and Volunteer certificate upon completion of volunteer period


Opportunity for career progression and mentorship




 

"
Support Person - Blind Organization (Ongoing Recruitment),"Toronto, Ontario",Health and Mental Health,CCB Toronto Visionaries,2020-05-17,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=536232,"

 
Who we are:
 The CCB Toronto Visionaries is a local chapter of the Canadian Council of the Blind, a ntional registered charity. Chartered as a CCB chapter in 2013, the CCB Toronto Visionaries is dedicated to breaking the isolation that so often accompanies vision loss, encouraging members to be inspired by their peers, to building supportive social networks through sharing information and engaging in a wide range of social and recreation activities.
 
We are looking for volunteers to act as support people for individuals with visual impairments.
 
Responsibilities Include;
-acting as a sighted guide
-attend monthly meetings
-assist with various activities (pub night, bowling, walkathon, field trips, etc)
 

"
Programs Review Committee Member,"Toronto, Ontario","Boards, Committees, and Leadership",Toronto Vegetarian Association,2020-05-15,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=223329,"

Do you have a passion for using your keen analytical skills and your strategic outlook to contribute to the greater good? The Programs Review Committee is a standing committee of the Toronto Vegetarian Association with the role of examining and evaluating new and existing Toronto Vegetarian Association programs, and providing the Board of Directors recommendations to modify, enhance or validate programs, including both program structure and leadership.
Qualifications and Expectations: We are looking for candidates who have diverse backgrounds and skill sets. Candidates with experience in the following areas would be an asset to the committee: program evaluation and design, volunteer management, outreach/activism, program monitoring organizational development and non-profit management. 
The committee meets once a month for 2 hours (currently online using Zoom) and committee members take on projects to complete in between meetings for approximately 4 hours of work per month.
Email volunteer@veg.ca with your resume and cover letter if you are interested.
Additional Information:

Required language:
English

Transportation:
Close to subway station

Minimum age:
16
Minimum hours per week:
3hr / month
Accessibility:
Accessible

"
Covid- 19 Support Line,"Scarborough, Ontario",COVID-19 Response,Warden Woods Community Centre,2020-05-14,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=605557,"

 
We started the Covid-19 Support line late April 2020 and have received an overwhelming response.  We are now looking for volunteers to help us manage the intake of the support line.
 
Volunteers would need to:
- Be present at the centre (74 Firvalley Court, Scarborough) from 10am- 2.30pm on the days they are available during the week
- Answer calls from the community and make notes on the intake forms (Training Provided)
What happens once you complete the process above?- The details are then referred to the appropriate staff/ channel for immediate support. This support could range from a call to a senior who feels lonely to food boxes for a family who are in need or maybe a youth who is in severe crisis and needs guidance. The support given is endless.
Skills Required:
- Should be patient, empathetic and should have the willingness to be trained
- Should have good listening skills.
We are currently looking for volunteers for all five days of the week. 
Contact Astrid- Community Relations Administrator- for more details.
 
 

"
COVID-19: Telephone Assurance Volunteer,"Etobicoke, Toronto, North York, and Scarborough, Ontario",COVID-19 Response,Canadian Red Cross,2020-05-12,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=605433,"

The Canadian Red Cross Society, a non-profit, humanitarian organization dedicated to helping Canadians, as well as the most vulnerable throughout the world, is seeking Telephone Assurance Volunteers for the Community Health and Wellness department. Volunteers will report to the Community Support Services Coordinators.


Key Responsibilities


Provides regular outbound phone calls to assigned older adult clients, offering companionship, conversation and engagement in meaningful interactions.
To provide a sense of security for the individual that there will be consistent contact from the outside world, minimum once a week.
Provides client centered support including referrals to other services.
Maintains timely and accurate records.
Reports any health or safety concerns to the Supervisor.
Provides monthly activity reports to Supervisor.
Contributes to a healthy and safe working environment.


Skills & Abilities


Ability to listen and empathize with client concerning personal and/or health-related issues.
An ability to accept elderly persons as they are.
An ability to respect their confidences.
Knowledge and understanding of concerns that might arise with older adults.
General knowledge of local community resources and events.
Ability to work independently with minimal or distance supervision and as part of an effective team.
Clear understanding of privacy and confidentiality.
Current Standard First Aid certification, or willingness to take training.
This position requires a satisfactory Canadian Criminal Record Reference check and a satisfactory Vulnerable Sector Check.

 
Working Conditions


The majority of the work is performed in your own residence.
The hours for this position are flexible and dependent on client need and volunteer availability. 
A minimum one-year commitment preferred.


"
Radio Volunteers (Ongoing),"Toronto, Ontario",Arts and Culture,Radio Ryerson CJRU 1280AM,2020-05-12,https://www.volunteertoronto.ca/networking/apply_now.aspx?view=2&id=605400,"

CJRU 1280AM is located on the Ryerson University campus. We are dedicated to being both a campus and community station - that means our programming and online content is directed to both the Ryerson Campus as well as the larger Toronto community. Our ongoing goal is to provide original, thought-provoking and diverse content & programming through our AM frequency and online platform. You do not need to be affiliated with Ryerson University to volunteer with us.


There are many different ways you can be involved with the radio station. What you do is dependent on your areas of interest and how much time you want to commit to the station. 
 
Some of the ways that volunteers get involved:

Radio programmers- hosting and producing your own original radio show
Researching news, writing news, and reporting it for our news programs
Artist Interviews - conducting radio interviews with upcoming artists
Album Reviews - Written online and/ or recorded and edited for radio

Assisting in community events and live events
Audio production and editing

To volunteer, there is no experience required, we train you and assist you in building up the skills you'll need.

"
